nome	idomas	periodoTrabalho	salarioReal	areaAtuacao	modeloContratacao	medio_g1	tecnico_g1	superior_g1	concluido	pos_g1	curriculo	valeAlimentacao	valeRefeicao	tempoExperienciaAnos	cidade	bairro	gestor_g1	numVagas
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	1	0	1	1
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	2	0	1	1
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	3	1	1	1
1	0	8	0.0	1	1	0	0	1	1	0	0	-1.0	-1.0	2.0	3	0	2	1
2	0	8	1500.0	1	1	0	0	1	0	0	1	0.0	396.0	1.0	3	0	3	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	2	0	4	1
4	0	8	3500.0	1	1	0	0	1	0	0	1	19.0	19.0	2.0	4	2	5	1
5	0	8	1300.0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	3	3	6	1
3	0	8	2500.0	1	1	1	0	0	0	0	1	0.0	320.0	-1.0	3	4	7	1
6	0	8	0.0	0	1	0	0	1	0	0	0	-1.0	-1.0	-1.0	5	0	8	1
7	0	8	1500.0	1	1	1	0	0	0	0	1	0.0	0.0	-1.0	3	5	9	1
8	0	8	50000.0	0	2	0	0	1	0	0	1	0.0	0.0	1.0	3	6	10	3
9	0	8	2300.0	1	1	0	0	1	1	0	1	0.0	506.0	2.0	3	7	11	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
4	0	8	3500.0	1	1	0	0	1	0	0	1	19.0	19.0	2.0	4	2	5	1
11	0	8	10000.0	0	1	0	0	1	1	0	0	0.0	0.0	-1.0	3	8	13	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
12	0	8	4000.0	1	1	0	0	1	1	0	1	500.0	500.0	-1.0	3	9	14	3
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	8	3600.0	0	1	1	0	0	0	0	1	0.0	504.0	-1.0	3	0	15	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
13	2	8	10000.0	0	1	0	0	1	1	0	1	0.0	20.0	15.0	6	0	16	1
